domain,mode,seed,precision,recall,balanced_accuracy,pr_auc,brier
conduct,caregiver_2_3,20270421,0.8768115942028986,0.75625,0.8515625,0.927674010185085,0.06756319989245996
conduct,caregiver_2_3,20270439,0.8740740740740741,0.7375,0.8421875000000001,0.9311406365656846,0.06647636537067386
conduct,caregiver_2_3,20270501,0.8796992481203008,0.73125,0.840625,0.9338562554513589,0.06752660294414523
conduct,caregiver_full,20270421,0.9937888198757764,1.0,0.9984375,1.0,0.004063457795468049
conduct,caregiver_full,20270439,0.975609756097561,1.0,0.99375,1.0,0.004279345464682194
conduct,caregiver_full,20270501,0.9876543209876543,1.0,0.996875,1.0,0.0033608671081801285
conduct,psychologist_1_3,20270421,0.8811188811188811,0.7875,0.8671875,0.9306972975252346,0.06996205202162646
conduct,psychologist_1_3,20270439,0.8741258741258742,0.78125,0.8625,0.9323283999673904,0.06973061047791936
conduct,psychologist_1_3,20270501,0.8811188811188811,0.7875,0.8671875,0.9305894238533815,0.07069355131574519
conduct,psychologist_2_3,20270421,0.8085106382978723,0.95,0.91875,0.9130935579269047,0.06412687373817265
conduct,psychologist_2_3,20270439,0.8085106382978723,0.95,0.91875,0.9149784712046661,0.06792976278428714
conduct,psychologist_2_3,20270501,0.7927461139896373,0.95625,0.915625,0.924325782585897,0.06456099571443687
conduct,psychologist_full,20270421,0.9937888198757764,1.0,0.9984375,0.9998828094481229,0.0024097644020472154
conduct,psychologist_full,20270439,0.9937888198757764,1.0,0.9984375,0.9998828094481229,0.0024097644020472154
conduct,psychologist_full,20270501,0.9937888198757764,1.0,0.9984375,0.9998828094481229,0.0024097644020472154
depression,caregiver_1_3,20270421,0.7380952380952381,0.7560975609756098,0.850410589533031,0.8073362359343308,0.060002753870876765
depression,caregiver_1_3,20270439,0.7441860465116279,0.7804878048780488,0.8626057114842505,0.8011702689512772,0.06258649790559792
depression,caregiver_1_3,20270501,0.7471264367816092,0.7926829268292683,0.8687032724598602,0.8048602916314382,0.061550279943293325
depression,caregiver_2_3,20270421,0.7789473684210526,0.9024390243902439,0.9248376026473832,0.9173169404909334,0.04412612965135891
depression,caregiver_2_3,20270439,0.7789473684210526,0.9024390243902439,0.9248376026473832,0.9266768156922114,0.0418298835756126
depression,caregiver_2_3,20270501,0.7872340425531915,0.9024390243902439,0.9260938840544184,0.9234548431400695,0.04242260480375233
depression,caregiver_full,20270421,0.8732394366197183,0.7560975609756098,0.8667422478244883,0.917393111965768,0.042789907660329245
depression,caregiver_full,20270439,0.8676470588235294,0.7195121951219512,0.848449564897659,0.9041429276772979,0.04531249214239585
depression,caregiver_full,20270501,0.875,0.7682926829268293,0.872839808800098,0.9114970963020522,0.04396235310990912
depression,psychologist_1_3,20270421,0.7662337662337663,0.7195121951219512,0.8371430322343425,0.7843230759802009,0.05976695720209544
depression,psychologist_1_3,20270439,0.7195121951219512,0.7195121951219512,0.8308616251991665,0.7858304233639168,0.06320806191131378
depression,psychologist_1_3,20270501,0.7721518987341772,0.7439024390243902,0.849338154185562,0.7967668554353267,0.06080675877414047
depression,psychologist_2_3,20270421,0.76,0.926829268292683,0.9332638803774973,0.9217227016048992,0.04206059981869529
depression,psychologist_2_3,20270439,0.76,0.926829268292683,0.9332638803774973,0.9232980183387943,0.042284882571011435
depression,psychologist_2_3,20270501,0.75,0.9146341463414634,0.9259100379948524,0.9184059359351439,0.04290887731854202
depression,psychologist_full,20270421,0.8714285714285714,0.7439024390243902,0.8606446868488785,0.9297073643743524,0.04490130699252624
depression,psychologist_full,20270439,0.8714285714285714,0.7439024390243902,0.8606446868488785,0.9297073643743524,0.04490130699252624
depression,psychologist_full,20270501,0.8714285714285714,0.7439024390243902,0.8606446868488785,0.9297073643743524,0.04490130699252624
elimination,caregiver_1_3,20270421,0.7704918032786885,0.9038461538461539,0.9355679367361611,0.9348679325741203,0.023338296706059084
elimination,caregiver_1_3,20270439,0.7966101694915254,0.9038461538461539,0.9379043853342919,0.9300817535038919,0.02367395730440202
elimination,caregiver_1_3,20270501,0.7704918032786885,0.9038461538461539,0.9355679367361611,0.931334557918534,0.024048118926683314
elimination,caregiver_2_3,20270421,0.9122807017543859,1.0,0.9941588785046729,0.9992673328123255,0.005710705858144352
elimination,caregiver_2_3,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9985056435212244,0.005655379531858883
elimination,caregiver_2_3,20270501,0.896551724137931,1.0,0.9929906542056075,0.9996371552975328,0.005337470983107195
elimination,caregiver_full,20270421,0.9285714285714286,1.0,0.9953271028037383,0.9996371552975327,0.005743479870416731
elimination,caregiver_full,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9988902589058399,0.006097322453497123
elimination,caregiver_full,20270501,0.9285714285714286,1.0,0.9953271028037383,0.9988902589058399,0.0055794476737416636
elimination,psychologist_1_3,20270421,0.78125,0.9615384615384616,0.9644140905823149,0.9333825321226605,0.0223843315767332
elimination,psychologist_1_3,20270439,0.7741935483870968,0.9230769230769231,0.9451833213515457,0.9320365827501899,0.02296509607158208
elimination,psychologist_1_3,20270501,0.7741935483870968,0.9230769230769231,0.9451833213515457,0.9332242609863259,0.02265979065709188
elimination,psychologist_2_3,20270421,0.9122807017543859,1.0,0.9941588785046729,0.9996371552975328,0.005687279333871276
elimination,psychologist_2_3,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9988902589058398,0.005785500815714659
elimination,psychologist_2_3,20270501,0.9122807017543859,1.0,0.9941588785046729,1.0000000000000002,0.005622033416324875
elimination,psychologist_full,20270421,0.9122807017543859,1.0,0.9941588785046729,0.9989179268025423,0.005942282781071294
elimination,psychologist_full,20270439,0.9285714285714286,1.0,0.9953271028037383,0.9981849859763291,0.006114913755426301
elimination,psychologist_full,20270501,0.9285714285714286,1.0,0.9953271028037383,0.9988902589058399,0.0056117334904431816
