domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
depression,caregiver_full,hybrid_final_model_structural_compliance_v1,hgb,structural_ranked_direct,none,validation_f1_recall_precision_guard_v1,0.57,0.8,0.8780487804878049,0.9547738693467336,0.9164113249172692,0.8372093023255814,0.9796696899129796,0.9142734101315824,0.0791188340451699,aceptable,-0.0233590696536429,HOLD_FOR_LIMITATION,hgb_structural_guard_v1,27.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,near guardrail secondary metric,no,guardian,no,no,no,no,0.9796696899129796,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.916,f1=0.837,p=0.800,r=0.878,brier=0.079]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_1_3,hybrid_final_model_structural_compliance_v1,rf,dsm5_core_plus_context,none,validation_f1_recall_precision_guard_v1,0.8499999999999999,0.8518518518518519,0.8414634146341463,0.9698492462311558,0.905656330432651,0.8466257668711656,0.9772030886138008,0.887676427359755,0.0671577284343916,bueno,-0.0042871082148789,HOLD_FOR_LIMITATION,rf_structural_guard_v1,11.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,near guardrail secondary metric,no,psychologist,no,no,no,no,0.9772030886138008,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.906,f1=0.847,p=0.852,r=0.841,brier=0.067]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,none,f1_recall_structural_target_band,0.6,0.7835051546391752,0.926829268292683,0.9472361809045228,0.9370327245986028,0.8491620111731844,0.9798688564775094,0.9104946822140751,0.0576198375850678,aceptable,0.0283597546873053,HOLD_FOR_LIMITATION,extra_trees_structural_regularized_v1,83.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,near guardrail secondary metric,no,psychologist,no,no,no,no,0.9798688564775094,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.937,f1=0.849,p=0.784,r=0.927,brier=0.058]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,no_shortcut_v1,none,f1_recall_target_band,0.388,0.7831325301204819,0.7926829268292683,0.9547738693467336,0.8737283980880011,0.7878787878787878,0.9750275769089348,0.8740526749277387,0.0494030151469596,bueno,0.0747947052334845,HOLD_FOR_LIMITATION,hgb_quick_guard_v1,150.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,55.3,limited,limited f1; near guardrail secondary metric,no,psychologist,no,no,no,no,0.9750275769089348,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.874,f1=0.788,p=0.783,r=0.793,brier=0.049]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
elimination,caregiver_1_3,hybrid_elimination_structural_audit_rescue_v1,rf,ranked_direct,none,validation_f1_recall_guard_anti_clone_v1,0.8699999999999999,0.8214285714285714,0.8846153846153846,0.9766355140186916,0.930625449317038,0.8518518518518519,0.9376797268152408,0.8747553222624959,0.1097963130608728,bueno,-0.0048775809307569,HOLD_FOR_LIMITATION,rf_elimination_guard_regularized_v1,4.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,calibration concern; near guardrail secondary metric,no,guardian,no,no,no,no,0.9766355140186916,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.931,f1=0.852,p=0.821,r=0.885,brier=0.110]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
elimination,caregiver_2_3,hybrid_elimination_structural_audit_rescue_v1,hgb,no_top1_direct,none,validation_f1_recall_guard_anti_clone_v1,0.3199999999999999,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0365859732281304,bueno,0.0015740319724688,PRIMARY_WITH_CAVEAT,hgb_elimination_conservative_v1,7.0,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.5,moderate,none,yes,guardian,no,no,no,no,0.9742990654205608,none,not_required,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.037]; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,caregiver_full,hybrid_elimination_structural_audit_rescue_v1,extra_trees,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.6799999999999999,0.7538461538461538,0.9423076923076924,0.9626168224299064,0.9524622573687994,0.8376068376068376,0.979308950395399,0.7564961659746969,0.1216793572676659,bueno,-0.0102844682734685,HOLD_FOR_LIMITATION,extra_trees_elimination_guard_regularized_v1,9.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision; calibration concern; near guardrail secondary metric,no,guardian,no,no,no,no,0.979308950395399,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.952,f1=0.838,p=0.754,r=0.942,brier=0.122]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
elimination,psychologist_1_3,hybrid_elimination_structural_audit_rescue_v1,hgb,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.13,0.7666666666666667,0.8846153846153846,0.9672897196261684,0.9259525521207764,0.8214285714285714,0.9259525521207764,0.6907051282051282,0.0458965211216198,bueno,0.0067499093357511,HOLD_FOR_LIMITATION,hgb_elimination_conservative_v1,5.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision,no,psychologist,no,no,no,no,0.9672897196261684,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.926,f1=0.821,p=0.767,r=0.885,brier=0.046]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
elimination,psychologist_2_3,hybrid_elimination_structural_audit_rescue_v1,rf,no_top2_direct,none,validation_f1_recall_guard_anti_clone_v1,0.91,0.7758620689655172,0.8653846153846154,0.969626168224299,0.9175053918044572,0.8181818181818182,0.9278172178289,0.724004109030052,0.1395246775727929,limitado,-0.0154425398911415,HOLD_FOR_LIMITATION,rf_elimination_guard_regularized_v1,9.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.9,limited,limited f1; low precision; calibration concern,no,psychologist,no,no,no,no,0.969626168224299,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.918,f1=0.818,p=0.776,r=0.865,brier=0.140]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
elimination,psychologist_full,hybrid_final_model_structural_compliance_v1,extra_trees,legacy_structural_intersection,none,validation_f1_recall_precision_guard_v1,0.84,0.7692307692307693,0.9615384615384616,0.9649532710280374,0.9632458662832496,0.8547008547008547,0.9797133357296908,0.7335872913847162,0.0457506020631495,bueno,0.014742864098735,HOLD_FOR_LIMITATION,extra_trees_structural_guard_v1,12.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision; near guardrail secondary metric,no,psychologist,no,no,no,no,0.9797133357296908,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.963,f1=0.855,p=0.769,r=0.962,brier=0.046]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
