participant_id,questionnaire_item_id,response_value,response_timestamp_utc,source
,QI_0172,,,manual_or_api
,QI_0173,,,manual_or_api
,QI_0174,,,manual_or_api
,QI_0175,,,manual_or_api
,QI_0176,,,manual_or_api
,QI_0177,,,manual_or_api
,QI_0178,,,manual_or_api
,QI_0179,,,manual_or_api
,QI_0180,,,manual_or_api
,QI_0181,,,manual_or_api
,QI_0182,,,manual_or_api
,QI_0183,,,manual_or_api
